id,title,speakers,description,link
1,What?? new with Contextual Sensing,Rinku Sreedhar,"<p>This session includes 3 topics a) Future strategy for Contextual Sensing APIs and plan for Lumia Sensorcore API, b) Introduce 3 new Motion Sensing UWP APIs c) Sensing Remotely when sensors are not on the device where you have your application running.</p><p>&nbsp;</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6ddb8e3bb4f54fb9a1d0a5e600fda43c"" />",https://s.ch9.ms/Events/Build/2016/P516
2,ASP.NET 1.0 Core: Advanced TagHelpers,Taylor Mullen,"In this code-focused session, N. Taylor Mullen digs into the advanced aspects of tag helpers, explaining how you can accomplish more difficult tasks. Along the way, he builds a great tag helper that enables RequireJS like functionality entirely on the server with minimal configuration. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e9bed4a7d94849e7beeaa5da00c46f9e"" />",https://s.ch9.ms/Events/Build/2016/P410
3,Building Big Data Applications using Spark and Hadoop,Maxim Lukiyanov,"In this session, learn how to leverage Spark to build intelligence into your applications. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d989de235f2243519266a5e200dcb81f"" />",https://s.ch9.ms/Events/Build/2016/P420
4,Service Fabric Deploying and Managing Applications with Service Fabric,Chacko Daniel,"<p>Service Fabric deploys and manages distributed applications built as microservices. This session we will show you how to create Service Fabric clusters and walk through an ARM template. We will and then deploy, monitor, troubleshoot, and the upgrade applications with no downtime and show you how it is super easy to manage these microservice based applications.</p><p>&nbsp;</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:77d916cf8a824f0ca7c0a5e2013ba2e2"" />",https://s.ch9.ms/Events/Build/2016/P431
5,Azure IoT: Today and Tomorrow,"Cameron Skinner, Seth Juarez, Sam George","<p>Azure IoT: Today and Tomorrow</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:55a876d55f4045e89213a5db0029a1c9"" />",https://s.ch9.ms/Events/Build/2016/CIOT
6,The Future of XAML,"Ryan Demopoulos, Unni Ravindranathan, Seth Juarez, James Clarke","<p>The Future of XAML</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:da0b27cee06240fba27da5db01067cf4"" />",https://s.ch9.ms/Events/Build/2016/The-Future-of-XAML
7,Cloud Server Tools,"Scott Hunter, Scott Klein","<p>Ying, Yang and a Bang</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:52b11a83177a4a12bb90a5db0105afa2"" />",https://s.ch9.ms/Events/Build/2016/Ying-Yang-and-a-Bang
8,"Jeffrey Snover on Azure Stack, Powershell, and Nano Server","Jeffrey Snover, Seth Juarez","<p>Jeffrey Snover on Azure Stack, Powershell, and Nano Server</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:d94e4d465587434ba5b3a5db0028a7e1"" />",https://s.ch9.ms/Events/Build/2016/CJS1
9,Azure AD,Vittorio Bertocci,"<p>Azure AD</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3e572b90c2034c0cae13a5db0009f2b2"" />",https://s.ch9.ms/Events/Build/2016/Azure-AD
10,Python and node.js on Visual Studio,"Seth Juarez, Steve Dower, Sara Itani","<p>Python and node.js on Visual Studio</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:57765cd0bc6a439db54ba5db0008e422"" />",https://s.ch9.ms/Events/Build/2016/Python-and-nodejs-on-Visual-Studio
11,TypeScript and Angular 2,"Brad Green, Mi??ko Hevery","<p>TypeScript and Angular 2</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:a424d7245c6546cd975da5db0007f621"" />",https://s.ch9.ms/Events/Build/2016/TypeScript-and-Angular-2
12,Converting your desktop app to use the Universal Windows Platform (Project Centennial),"John Sheehan, Stefan Wick, David Tepper","<p>Converting your desktop app to use the Universal Windows Platform (Project Centennial)</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:30874fe4256a4f1fb6d0a5da018a511b"" />",https://s.ch9.ms/Events/Build/2016/Converting-your-desktop-app-to-use-the-Universal-Windows-Platform-Project-Centennial
13,Application Insights,"Seth Juarez, Merav Davidson, A.S. Sivakumar","<p>Application Insights&nbsp;</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3e6161040a454ca2b63aa5da01579c86"" />",https://s.ch9.ms/Events/Build/2016/App-Insights-and-HockeyApp
